country,city,address,coordinates,operator,type,phone,email,website,image,wikidata
Afghanistan,,,Point(69.179449 34.529382),France,embassy,,,http://www.ambafrance-af.org/,,http://www.wikidata.org/entity/Q1860539
Afghanistan,,,,Netherlands,embassy,,,https://www.nederlandwereldwijd.nl/landen/afghanistan/over-ons/ambassade-in-kabul,,http://www.wikidata.org/entity/Q38047952
Afghanistan,,,,Saudi Arabia,embassy,,,,,http://www.wikidata.org/entity/Q54857289
Afghanistan,Kabul,,,Australia,embassy,+61-2-6261-3305,,http://afghanistan.embassy.gov.au/,,http://www.wikidata.org/entity/Q23891470
Afghanistan,Kabul,"Wazir Akbar Khan, Street No. 15, House No. 256",,Canada,embassy,+93-70-110-8800,mailto:kabul@international.gc.ca,http://www.international.gc.ca/afghanistan/,,http://www.wikidata.org/entity/Q5369597
Afghanistan,Kabul,,,Italy,embassy,,,,,http://www.wikidata.org/entity/Q3613756
Afghanistan,Kabul,,,Norway,embassy,,,,,http://www.wikidata.org/entity/Q19383572
Afghanistan,Kabul,"Dar-ul-Aman Road, Ayub Khan Mena, 7th District",,Russia,embassy,,mailto:rusembafg@yandex.ru,http://www.afghanistan.mid.ru,http://commons.wikimedia.org/wiki/Special:FilePath/Russian%20embassy%20in%20Kabul.jpg,http://www.wikidata.org/entity/Q26866349
Afghanistan,Kabul,,,South Korea,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%EC%95%84%ED%94%84%EA%B0%84%20%EB%8C%80%EC%82%AC%EA%B4%80%20%EA%B2%BD%EA%B3%84%EB%AA%A8%EC%8A%B5%20%287390477854%29.jpg,http://www.wikidata.org/entity/Q24346589
Afghanistan,Kabul,,Point(69.166095 34.52814),Sweden,embassy,,,,,http://www.wikidata.org/entity/Q10686007
Afghanistan,Kabul,"Great Massoud Road, Wazir Akbar Khan",Point(69.19 34.534722),United States of America,embassy,,mailto:KabulACS@state.gov,https://kabul.usembassy.gov,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Embassy%20in%20Kabul%20on%20July%204th%202010.jpg,http://www.wikidata.org/entity/Q894835
Albania,,,Point(19.824035899 41.320178514),Netherlands,embassy,,,,,http://www.wikidata.org/entity/Q38048158
Albania,,,,Saudi Arabia,embassy,,,,,http://www.wikidata.org/entity/Q54857094
Albania,,,,State of Palestine,embassy,,,,,http://www.wikidata.org/entity/Q29447512
Albania,,,,Vatican City,Apostolic Nunciature,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ambasada%20e%20Vatikanit%203.JPG,http://www.wikidata.org/entity/Q3879488
Albania,Tirana,,Point(19.80813 41.330344),France,embassy,,,http://www.ambafrance-al.org/,,http://www.wikidata.org/entity/Q2841711
Albania,Tirana,,Point(19.80750833 41.32939722),Germany,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Deutsche%20Botschaft%20Tirana.jpg,http://www.wikidata.org/entity/Q15109295
Albania,Tirana,,Point(19.82583333 41.32166667),Italy,embassy,,,http://www.ambtirana.esteri.it/ambasciata_tirana,,http://www.wikidata.org/entity/Q15040986
Albania,Tirana,Rr. Jul Varibova 11,,Montenegro,embassy,+355-4-226-1309,mailto:albania@mfa.gov.me,http://www.mvpei.gov.me/en/sections/Missions/Embassies-and-consulates-of-Montenegro/albania,http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20Montenegro%20in%20Tirana%2C%20Nov%2023%2C%202008.JPG,http://www.wikidata.org/entity/Q5369797
Albania,Tirana,,Point(19.8107 41.3309),Poland,embassy,,,,,http://www.wikidata.org/entity/Q11685581
Albania,Tirana,,,Slovenia,consulate general,,,,,http://www.wikidata.org/entity/Q12789683
Albania,Tirana,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794059
Albania,Tirana,,,Sweden,embassy,,,,,http://www.wikidata.org/entity/Q18333543
Albania,Tirana,,Point(19.83555556 41.31402778),Turkey,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skanderbeg%20Mountains%20from%20Tirana.jpg,http://www.wikidata.org/entity/Q1320314
