Date (CE)	Claimant(s)	Description	Ref.
66-70	Simon bar Giora, Jewish Essenes	The Jewish Essene sect of ascetics saw the Jewish uprising against the Romans in 66-70 in Judea as the final end-time battle which would bring about the arrival of the Messiah. By the authority of Simon, coins were minted declaring the redemption of Israel.	[14][15]
365	Hilary of Poitiers	This early French bishop announced the end of the world would happen during this year.	[16]
375-400	Martin of Tours	This French bishop stated that the world would end before 400 AD, writing, "There is no doubt that the Antichrist has already been born. Firmly established already in his early years, he will, after reaching maturity, achieve supreme power."	[17][18]
500	Hippolytus of Rome, Sextus Julius Africanus, Irenaeus	All three predicted Jesus would return in this year, with one of the predictions being based on the dimensions of Noah's Ark.	[19][20]
6 Apr 793	Beatus of Liébana	This Spanish monk prophesied the Second Coming of Christ and the end of the world on that day in front of a large crowd of people.	[19]
800	Sextus Julius Africanus	This Christian historian revised his prediction from the year 500 to 800.	[21]
799-806	Gregory of Tours	This French bishop calculated the end would occur between 799 and 806.	[22]
847	Thiota	This Christian declared in 847 that the world would end that year, though later confessed the prediction was fraudulent and was publicly flogged.	[23][24]
992-995	Various Christians	Good Friday coincided with the Feast of the Annunciation; this had long been believed to be the event that would bring forth the Antichrist, and thus the end-times, within three years.	[25]
1 Jan 1000	Pope Sylvester II	Various Christian clerics predicted this date as the Millennium, including Pope Sylvester II. Riots occurred in Europe and pilgrims headed east to Jerusalem.	[26][27]
1033	Various Christians	Following the failure of the 1 January 1000, prediction, some theorists proposed that the end would occur 1000 years after Jesus' death, instead of his birth.	[19][28]
1200-1260	Joachim of Fiore	This Italian mystic determined that the Millennium would begin between 1200 and 1260.	[29]
1284	Pope Innocent III	Pope Innocent III (died 1216) predicted that the world would end 666 years after the rise of Islam.	[17]
1290
1335	Joachimites	After his 1260 prediction failed, the followers of Joachim of Fiore rescheduled the end of the world to 1290 and then again to 1335.	[30]
1346-1351	Various Europeans	The Black Death spreading across Europe was interpreted by many as the sign of the end of times.	[31][32]
1368-1370	Jean de Roquetaillade	This French alchemist predicted the Antichrist was to come in 1366 and the Millennium would begin either in 1368 or 1370.	[33]
1378	Arnaldus de Villa Nova	This Joachite wrote that the Antichrist was to come during this year.	[34]
1504	Sandro Botticelli	This painter believed he was living during the Tribulation, and that the Millennium would begin in three and a half years from 1500. He wrote into his painting The Mystical Nativity that the Devil was loose and would soon be chained.	[35][36]
1 Feb 1524	London astrologers	A group of astrologers in London predicted the world would end by a flood starting in London, based on calculations made the previous June. Twenty thousand Londoners left their homes and headed for higher ground in anticipation.	[37][38]
20 Feb 1524	Johannes Stöffler	A planetary alignment in Pisces was seen by this astrologer as a sign of the Millennium.	[37]
1524-1526	Thomas Müntzer	1525 would mark the beginning of the Millennium, according to this Anabaptist. His followers were killed by cannon fire in an uneven battle with government troops. He died under torture and was beheaded.	[28][39]
27 May 1528	Hans Hut	This German Anabaptist predicted the end would occur on this date.	[40]
1528	Johannes Stöffler	A revised date from Stöffler after his 1524 prediction failed to come true.	[41]
19 Oct 1533	Michael Stifel	This mathematician calculated that Judgement Day would begin at 8:00 am on this day.	[42]
1533	Melchior Hoffman	This Anabaptist prophet predicted Christ's Second Coming to take place this year in Strasbourg. He claimed that 144,000 people would be saved, while the rest of the world would be consumed by fire.	[43]
5 Apr 1534	Jan Matthys	During the Münster rebellion, this Anabaptist leader declared that the apocalypse would take place on this day. When the day came he led a failed attack against Franz von Waldeck and was decapitated.	[44]
1555	Pierre d'Ailly	Around 1400, this French theologian wrote that 6845 years of human history had already passed, and the end of the world would be in the 7000th year.	[45]
1585	Michael Servetus	In his book The Restoration of Christianity, the Spanish born reformer claimed that the Devil's reign in this world had started in 325 AD, at the Council of Nicea, and would last for 1260 years, thus ending in 1585.	[46]
1588	Regiomontanus	This mathematician and astronomer predicted the end of the world during this year.	[47]
1600	Martin Luther	Luther, a German priest and professor of theology, predicted the end of the world would occur no later than 1600.	[48]
1 Feb 1624	London astrologers	The same astrologers who predicted the deluge of 1 February 1524, recalculated the date to 100 years later after their first prophecy failed.	[37][38]
1648	Sabbatai Zevi	Using the kabbalah, this rabbi from Turkey proclaimed that the Messiah would come during that year.	[47]
1651	Unknown author from Lübeck, Germany	The apocalypse maps tell of an Antichrist, the rise of Islam and other events following Judgement Day that was predicted to occur in 1651.	[49][50]
1654	Helisaeus Roeslin	This physician made a prediction that the world would end this year based on a nova that occurred in 1572.	[51]
1656	Christopher Columbus	In his Book of Prophecies (1501), Columbus predicted that the world would end during this year.	[52][53]
1655-1657	Fifth Monarchists	This group of radical Christians predicted that the final apocalyptic battle and the destruction of the Antichrist were to take place between 1655 and 1657.	[54]
1658	Christopher Columbus	Columbus claimed that the world was created in 5343 BCE, and would last 7000 years. Assuming no year zero, that means the end would come in 1658.	[55]
1660	Joseph Mede	Mede claimed that the Antichrist had appeared in 456, and the end would come in 1660.	[56]
1666	Sabbatai Zevi	Following his failed prediction of 1648, Zevi recalculated the end of the Earth for this year.	[47]
1666	Fifth Monarchists	The presence of 666 in the date, the death of 100,000 Londoners to bubonic plague, and the Great Fire of London led to superstitious fears of the end of the world from some Christians.	[57][58]
1673	William Aspinwall	This Fifth Monarchist claimed the Millennium would begin by this year.	[59]
1688	John Napier	This mathematician calculated the end of the world would be this year based on calculations from the Book of Revelation.	[60]
1689	Pierre Jurieu	This prophet predicted that Judgement Day would occur this year.	[61]
1694	John Mason	This Anglican priest predicted the Millennium would begin by this year.	[62]
1694	Johann Heinrich Alsted	This Calvinist minister predicted the Millennium would begin by this year.	[63]
1694	Johann Jacob Zimmermann	Believed that Jesus would return and the world would end this year.	[64]
1697	Cotton Mather	This Puritan minister predicted the world would end this year. After the prediction failed, he revised the date of the end two more times.	[44]
1700	John Napier	Following his 1688 prediction, Napier recalculated his end of the world prediction to 1700 in A Plaine Discovery, a book published in 1593.	[65]
1700	Henry Archer	In his 1642 work, The Personall Reigne of Christ Upon Earth, Archer predicted the Second Coming of Jesus would occur in approximately this year.	[66]
1705-1708	Camisards	Camisard prophets predicted the end of the world would occur in either 1705, 1706 or 1708.	[61]
1716	Cotton Mather	Revised prediction from Mather after his 1697 prediction failed to come true.	[44]
5 Apr 1719	Jacob Bernoulli	This mathematician predicted a comet would destroy the Earth on this day.	[51]
1700-1734	Nicholas of Cusa	This cardinal predicted the end would occur between 1700 and 1734.	[67]
16 Oct 1736	William Whiston	This theologian predicted a comet colliding with the Earth this year.	[68]
1736	Cotton Mather	Mather's third and final prediction for the end of the world.	[44]
